Département,Année,Délits_total
62,2021,68506
62,2022,50282
63,1996,26424
63,1997,23581
63,1998,24130
63,1999,22718
63,2000,25008
63,2001,27422
63,2002,29852
63,2003,26976
63,2004,26915
63,2005,26008
63,2006,25611
63,2007,25215
63,2008,25973
63,2009,25566
63,2010,25336
63,2011,24459
63,2012,25086
63,2013,26641
63,2014,26269
63,2015,27453
63,2016,28721
63,2017,30459
63,2018,29026
63,2019,29698
63,2020,26145
63,2021,28032
63,2022,19316
64,1996,31350
64,1997,29114
64,1998,31440
64,1999,29884
64,2000,31584
64,2001,34627
64,2002,32668
64,2003,31209
64,2004,28780
64,2005,27520
64,2006,28131
64,2007,28192
64,2008,28207
64,2009,28064
64,2010,27868
64,2011,29162
64,2012,26945
64,2013,26781
64,2014,27204
64,2015,27602
64,2016,26286
64,2017,27602
64,2018,27032
64,2019,27017
64,2020,23622
64,2021,25112
64,2022,18669
65,1996,11602
65,1997,11803
65,1998,11247
65,1999,10113
65,2000,10244
65,2001,11227
65,2002,11389
65,2003,10394
65,2004,9947
65,2005,9764
65,2006,9527
65,2007,9586
65,2008,9781
65,2009,9368
65,2010,9045
65,2011,9467
65,2012,8945
65,2013,9728
65,2014,10088
65,2015,9639
65,2016,9791
65,2017,10048
65,2018,10162
65,2019,10263
65,2020,8487
65,2021,8973
65,2022,6739
66,1996,32847
66,1997,31132
66,1998,33349
66,1999,30813
66,2000,35512
66,2001,35475
66,2002,39083
66,2003,37897
66,2004,35526
66,2005,37047
66,2006,38386
66,2007,33535
